Id,AthleteId,RecruitType,Year,Ranking,Name,School,CommittedTo,Position,Height,Weight,Stars,Rating,City,StateProvince,Country,HometownInfo Latitude,HometownInfo Longitude,HometownInfo FipsCode
61569,4428988.0,HighSchool,2020,1.0,Bryan Bresee,Damascus,Clemson,DT,77.0,290.0,5,0.9995,Damascus,MD,USA,39.2884381,-77.2038717,24031.0
61570,4685720.0,HighSchool,2020,2.0,Bryce Young,Mater Dei,Alabama,DUAL,71.0,183.0,5,0.9994,Santa Ana,CA,USA,33.7494951,-117.8732213,6059.0
61571,4430800.0,HighSchool,2020,3.0,Julian Fleming,Southern Columbia,Ohio State,WR,74.0,199.0,5,0.9979,Catawissa,PA,USA,40.9548267,-76.4609868,42037.0
61572,4428992.0,HighSchool,2020,4.0,Kelee Ringo,Saguaro,Georgia,CB,74.0,205.0,5,0.9976,Scottsdale,AZ,USA,33.4942189,-111.9260184,4013.0
61573,4428994.0,HighSchool,2020,5.0,Arik Gilbert,Marietta,LSU,TE,77.0,253.0,5,0.9972,Marietta,GA,USA,33.9528472,-84.5496148,13067.0
61574,4428986.0,HighSchool,2020,6.0,Justin Flowe,Upland,Oregon,ILB,74.0,225.0,5,0.9967,Upland,CA,USA,34.09751,-117.6483876,6071.0
61576,4428996.0,HighSchool,2020,8.0,Jordan Burch,Hammond School,South Carolina,DT,77.0,275.0,5,0.9954,Columbia,SC,USA,34.0007493,-81.0343313,45079.0
61577,4428991.0,HighSchool,2020,9.0,Paris Johnson Jr.,Princeton,Ohio State,OT,79.0,290.0,5,0.9953,Cincinnati,OH,USA,39.1014537,-84.5124602,39061.0
61578,unknown,HighSchool,2020,10.0,DJ Uiagalelei,St. John Bosco,Clemson,PRO,76.5,246.0,5,0.9949,Bellflower,CA,USA,33.8825705,-118.1167679,6037.0
61579,4428990.0,HighSchool,2020,11.0,Broderick Jones,Lithonia,Georgia,OT,77.0,298.0,5,0.9947,Lithonia,GA,USA,33.7123305,-84.1051939,13089.0
61580,4429014.0,HighSchool,2020,12.0,Gervon Dexter,Lake Wales,Florida,DT,78.5,286.0,5,0.9946,Lake Wales,FL,USA,27.9014133,-81.5859099,12105.0
